detection_model,metric,dataset,correlation,pvalue,significant
microsoft/deberta-v3-small,L_HERS_PRON,abstracts,,,False
microsoft/deberta-v3-small,L_HERS_PRON,news,-0.46599315439709965,0.000739603134778377,True
microsoft/deberta-v3-small,L_HERS_PRON,reviews,-0.19732185214725245,0.17414646955153218,False
microsoft/deberta-v3-small,L_HERS_PRON,qa,0.4031619412766618,0.004075167460361723,True
microsoft/deberta-v3-small,L_OURS_PRON,abstracts,-0.5123039149115693,0.00016784842378057805,True
microsoft/deberta-v3-small,L_OURS_PRON,news,0.03780222361213466,0.7965021627947105,False
microsoft/deberta-v3-small,L_OURS_PRON,reviews,-0.11297273757015963,0.43959736041807224,False
microsoft/deberta-v3-small,L_OURS_PRON,qa,-0.49199079012843344,0.000330138678476152,True
microsoft/deberta-v3-small,L_MYSELF_PRON,abstracts,,,False
microsoft/deberta-v3-small,L_MYSELF_PRON,news,0.3035160033147753,0.034001033297248365,True
microsoft/deberta-v3-small,L_MYSELF_PRON,reviews,-0.5555113594263125,3.424427151790287e-05,True
microsoft/deberta-v3-small,L_MYSELF_PRON,qa,-0.26610780148911334,0.06458116442797877,False
microsoft/deberta-v3-small,L_YOURSELF_PRON,abstracts,,,False
microsoft/deberta-v3-small,L_YOURSELF_PRON,news,0.44499316582296117,0.0013566688610288581,True
microsoft/deberta-v3-small,L_YOURSELF_PRON,reviews,-0.5630128992629428,2.539708058232277e-05,True
microsoft/deberta-v3-small,L_YOURSELF_PRON,qa,-0.06528352227846185,0.6558403886357097,False
microsoft/deberta-v3-small,L_HIMSELF_PRON,abstracts,0.12169511017933804,0.4048577001436225,False
microsoft/deberta-v3-small,L_HIMSELF_PRON,news,-0.545543610642624,5.0385500606342105e-05,True
microsoft/deberta-v3-small,L_HIMSELF_PRON,reviews,-0.0036368134538859453,0.9802140442728037,False
microsoft/deberta-v3-small,L_HIMSELF_PRON,qa,-0.5427737518849014,5.597232114858265e-05,True
microsoft/deberta-v3-small,L_HERSELF_PRON,abstracts,-0.18563660874814292,0.20158668790236522,False
